date,adj_close,close,high,low,open,volume
2004-02-11,39.60,39.60,40.50,39.10,39.40,13007224
2004-02-12,40.40,40.50,41.30,39.90,40.00,22171226
2004-02-13,39.10,39.10,40.90,38.20,40.30,16950750
2004-02-16,38.20,38.30,39.40,37.30,38.60,17207443
2004-02-17,38.40,38.50,38.70,37.90,38.30,7516550
2004-02-18,39.60,39.70,40.60,39.00,39.00,15786500
2004-02-19,39.70,39.80,40.40,39.50,40.30,7795772
2004-02-20,40.50,40.50,41.30,39.80,39.80,16731529
2004-02-23,41.30,41.30,42.00,40.80,41.00,15070209
2004-02-24,40.70,40.70,41.60,40.60,41.30,4744190
2004-02-25,43.50,43.50,43.50,42.10,42.50,23774700
2004-02-26,44.90,45.00,46.30,43.20,44.40,30450494
2004-02-27,45.20,45.20,46.10,45.10,45.30,12430462
2004-03-01,44.10,44.20,46.00,43.80,46.00,12190485
2004-03-02,43.90,44.00,45.60,43.80,44.50,13207258
2004-03-03,43.00,43.00,44.60,42.80,44.00,9306404
2004-03-04,44.30,44.30,44.70,43.00,43.20,11394394
2004-03-05,44.00,44.20,44.90,43.20,44.90,8218665
2004-03-08,43.20,43.20,44.40,43.00,44.20,5748906
2004-03-09,43.00,43.00,43.80,42.60,43.80,4618632
2004-03-10,42.90,43.00,43.80,42.60,43.00,7097881
2004-03-11,43.50,43.50,43.70,42.30,42.30,4801483
2004-03-12,44.10,44.10,44.80,43.10,43.40,15774128
2004-03-15,43.60,43.70,45.30,43.70,44.80,10109911
2004-03-16,42.80,42.90,44.10,42.40,44.00,9194368
2004-03-17,43.90,43.90,45.30,43.20,43.50,10916950
2004-03-18,46.90,46.90,46.90,44.50,44.80,22205806
2004-03-19,46.20,46.20,46.80,45.40,46.80,10981256
2004-03-22,0.00,43.00,43.00,43.00,43.00,2030556
2004-03-23,42.00,42.20,43.70,40.00,40.00,15656640
2004-03-24,42.20,42.20,43.40,41.40,42.10,11022008
2004-03-25,42.50,42.50,43.60,42.20,42.30,8073000
2004-03-26,43.10,43.20,43.50,42.00,43.00,8562608
2004-03-29,44.90,45.00,45.50,43.90,44.00,5429756
2004-03-30,44.70,44.80,45.00,43.70,44.90,7119908
2004-03-31,45.10,45.10,45.60,44.50,44.60,8286448
2004-04-01,45.70,45.70,46.20,45.10,45.10,15275016
2004-04-02,46.10,46.10,48.00,46.10,46.20,15467116
2004-04-05,48.40,48.50,48.80,46.50,47.00,16304507
2004-04-06,48.00,48.00,49.90,48.00,48.80,14224550
2004-04-07,47.50,47.50,48.10,47.40,48.00,5861088
2004-04-08,47.50,47.60,48.50,47.50,48.00,5721689
2004-04-09,48.20,48.40,48.70,47.50,47.60,7580864
2004-04-12,48.30,48.40,49.90,48.40,49.00,12554625
2004-04-13,47.10,47.10,48.70,46.20,48.50,14001440
2004-04-14,47.00,47.10,47.40,46.20,46.20,10049544
2004-04-15,45.40,45.50,47.10,45.50,47.00,6091859
2004-04-16,45.90,46.00,46.50,45.40,45.50,7239000
2004-04-19,45.00,45.00,46.40,44.50,46.00,6657209
2004-04-20,44.90,44.90,45.90,44.80,45.40,5316929
2004-04-21,46.50,46.50,46.70,44.90,45.40,11812903
2004-04-22,46.10,46.20,47.60,45.70,47.10,13313471
2004-04-23,46.10,46.20,46.90,45.80,46.90,5565396
2004-04-26,44.80,44.90,46.20,44.60,45.80,3218370
2004-04-27,42.10,42.10,44.40,41.80,43.50,13119752
2004-04-28,41.60,41.60,42.10,39.80,42.00,14955408
2004-04-29,40.90,41.00,41.30,39.80,40.00,8973000
2004-04-30,41.00,41.00,41.80,39.10,40.50,21410600
2004-05-03,40.90,41.00,42.00,40.10,41.00,9662008
2004-05-04,41.40,41.40,43.30,41.40,42.00,16633200
2004-05-05,0.00,38.60,41.60,38.60,41.40,9710224
2004-05-06,36.70,36.80,39.10,35.90,38.60,20372187
2004-05-07,35.80,35.90,36.80,34.30,36.80,15667251
2004-05-10,0.00,33.40,34.80,33.40,34.80,12269820
2004-05-11,34.10,34.20,34.40,31.40,33.40,26342660
2004-05-12,34.80,34.90,36.00,34.60,34.90,20051402
2004-05-13,33.50,33.60,35.10,33.10,34.90,8989272
2004-05-14,31.80,31.90,34.30,31.90,34.30,9723956
2004-05-17,0.00,29.70,30.50,29.70,30.00,5725600
2004-05-18,0.00,27.70,29.00,27.70,27.70,18555501
2004-05-19,29.60,29.60,29.60,28.30,28.80,22499840
2004-05-20,29.50,29.50,31.20,29.30,29.80,37394511
2004-05-21,31.50,31.50,31.50,29.10,29.90,25243001
